Order,Family,Subfamily,Genus,Common Name,Simp_Spec,Spectrum,Downy hatchling plumage,Motor activity,Locomotor activity,Follow parent(s),Search and feed alone,Young are fed by parents,Stay in nest,Closed eyes at time of hatching,Lack external feathers at time of hatching,No parent chick interactions,Contour feathers at hatching 
"	Psittaciformes",Psittrichasiidae,,Psittrichas,Pesquet's parrot,,,,,,,,,,,,,
"	Psittaciformes",Psittacidae,"	Psittacini",Psittacus,African grey parrot,Altricial,Altricial 2,,,,,,,,,,,
"	Psittaciformes",Psittacidae,"	Arinae",Deroptyus,red-fan parrot,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,Acanthisittidae,,Acanthisitta,rifleman (New Zealand wrens),Altricial,Altricial 2,,,,,,,,,,,
"Passeriformes 	Tyranni Eurylaimides","	Pittoidea Pittidae",,Pitta,pitta,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,"	Eurylaimidae",,Smithornis,broadbills,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,"	Eurylaimidae",,Calyptomena,,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,"	Eurylaimidae",,Eurylaimus,,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,"	Eurylaimidae",,Neodrepanis,sunbird-asity,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,Melanopareiidae,,Melanopareia,crescentchests ,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,Thamnophilidae,,Myrmornis,wing-banded antbird,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,Thamnophilidae,,Thamnophilus,antshrike,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,Thamnophilidae,,Terenura,antwren,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,"	Grallariidae",,Myrmothera,antpitta,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,"	Furnariidae",Sclerurinae ,Sclerurus,ovenbird/leaftossers/leafscrapers,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,"	Furnariidae",Furnariini ,Furnarius,horneros ,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,"	Furnariidae",Dendrocolaptini ,Lepidocolaptes,small woodcreepers,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,Pipridae,,Neopelma,tyrant-manakin,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,Pipridae,,Cryptopipo,green Manakin ,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,Pipridae,,Ceratopipra,European manakin,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,"	Cotingidae",,Rupicola,Guianan cock-of-the-rock,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes Tyrannida,"	Cotingidae",,Cotinga,Central and South America cotingas ,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,Tityridae,,Oxyruncus,sharpbill ,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,Tityridae,,Myiobius,Myiobius,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,Tityridae,,Schiffornis,Schiffornis ,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,Tityridae,,Tityra,tityras ,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,Tyrannidae,,Piprites,Piprites,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,Tyrannidae,,Rhynchocyclus,Flatbill (tyrant flycatcher),Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,Tyrannidae,,Hirundinea,swallows / martins,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,Tyrannidae,,Elaenia,Elaenia (tyrant flycatcher),Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,Tyrannidae,,Hymenops,spectacled tyrant,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,Tyrannidae,,Tyrannus,kingbird (tyrant flycatcher),Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,Menuridae,,Menura,lyrebird ,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,Climacteridae,,Climacteris,treecreeper,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,Ptilonorhynchidae,,Sericulus,bowerbird,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,Ptilonorhynchidae,,Ptilonorhynchus,satin bowerbird,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,"	Maluridae",,Malurus,fairy wren,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,"	Paradisaeidae",,Lophorina,superb bird-of-paradise,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,Corvidae,"	Corvinae",Corvus, crows / ravens / rooks / jackdaws,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,"	Paridae",,Poecile,tit / chickadee,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,"	Alaudidae",,Calandrella,lark,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,"	Pycnonotidae",,Pycnonotus,bulbul ,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,"	Sylviidae",,Sylvia,typical warblers,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,Regulidae,,Regulus,kinglet / crest,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,"	Turdidae",,Turdus,True thrushes,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,"
Fringillidae",,Fringilla,chaffinch,Altricial,Altricial 2,,,,,,,,,,,
Passeriformes,"	Passerellidae",,Spizella,American sparrows,Altricial,Altricial 2,,,,,,,,,,,
